date,open,high,low,close,volume
8/31/2021,304.420013,304.5,301.5,301.880005,26285300
9/1/2021,302.869995,305.190002,301.48999,301.829987,18983800
9/2/2021,302.200012,303.359985,300.179993,301.149994,16285600
9/3/2021,300.98999,302.600006,300.26001,301.140015,14747900
9/7/2021,301.01001,301.089996,298.200012,300.179993,17180400
9/8/2021,299.779999,300.609985,297.470001,300.209991,15046800
9/9/2021,300.820007,302.140015,297,297.25,19927000
9/10/2021,298.420013,299.920013,295.380005,295.709991,19633400
9/13/2021,297.549988,298.540009,294.079987,296.98999,23652900
9/14/2021,299.559998,301.390015,298.100006,299.790009,21853400
9/15/2021,303.26001,305.320007,301.820007,304.820007,28356300
9/16/2021,303.76001,305.309998,300.76001,305.220001,19550800
9/17/2021,304.170013,304.5,299.529999,299.869995,41372500
9/20/2021,296.329987,298.720001,289.519989,294.299988,38278700
9/21/2021,295.690002,297.540009,294.070007,294.799988,22364100
9/22/2021,296.730011,300.220001,294.51001,298.579987,26626300
9/23/2021,298.850006,300.899994,297.529999,299.559998,18604600
9/24/2021,298.230011,299.799988,296.929993,299.350006,14999000
9/27/2021,296.140015,296.470001,292.940002,294.170013,23571700
9/28/2021,289.799988,290.779999,282.75,283.519989,43186200
9/29/2021,285.100006,286.769989,283.01001,284,26353700
9/30/2021,285.709991,287.829987,281.619995,281.920013,32343600
10/1/2021,282.119995,289.980011,281.290009,289.100006,30086300
10/4/2021,287.399994,287.75,280.25,283.109985,31350700
10/5/2021,284.049988,290.399994,284.049988,288.76001,24993000
10/6/2021,285.779999,293.630005,285.51001,293.109985,28002600
10/7/2021,295.179993,296.640015,293.920013,294.850006,20430500
10/8/2021,296.220001,296.640015,293.76001,294.850006,17685700
10/11/2021,292.920013,297.970001,292.75,294.230011,19298600
10/12/2021,295.339996,295.440002,292.350006,292.880005,17974100
10/13/2021,294.910004,297.279999,293.48999,296.309998,23416300
10/14/2021,299.209991,303.269989,297.829987,302.75,27262900
10/15/2021,302.339996,304.450012,300.519989,304.209991,25384800
10/18/2021,303.570007,308.209991,302.690002,307.290009,22729300
10/19/2021,308.350006,309.299988,307.220001,308.230011,17682100
10/20/2021,309.209991,309.700012,306.109985,307.410004,16537100
10/21/2021,307.170013,311.019989,306.359985,310.76001,16918100
10/22/2021,310.399994,311.089996,307.799988,309.160004,17449300
10/25/2021,309.359985,309.399994,306.459991,308.130005,17554500
10/26/2021,311,312.399994,308.600006,310.109985,28107300
10/27/2021,316,326.100006,316,323.170013,52588700
10/28/2021,324.329987,324.869995,321.359985,324.350006,26297900
10/29/2021,324.130005,332,323.899994,331.619995,34766000
11/1/2021,331.359985,331.48999,326.369995,329.369995,27073200
11/2/2021,330.309998,333.450012,330,333.130005,26487100
11/3/2021,333.899994,334.899994,330.649994,334,21500100
11/4/2021,332.890015,336.540009,329.51001,336.440002,23992200
11/5/2021,338.51001,338.790009,334.420013,336.059998,22570100
11/8/2021,337.299988,337.649994,334.440002,336.98999,20897000
11/9/2021,337.109985,338.720001,334.529999,335.950012,21307400
11/10/2021,334.570007,334.630005,329.920013,330.799988,25500900
11/11/2021,331.25,333.769989,330.51001,332.429993,16849800
11/12/2021,333.920013,337.230011,333.790009,336.720001,23831000
11/15/2021,337.540009,337.880005,334.029999,336.070007,16723000
11/16/2021,335.679993,340.670013,335.51001,339.51001,20886800
11/17/2021,338.940002,342.190002,338,339.119995,19053400
11/18/2021,338.179993,342.450012,337.119995,341.269989,22463500
11/19/2021,342.640015,345.100006,342.200012,343.109985,21963400
11/22/2021,344.619995,349.670013,339.549988,339.829987,31031100
11/23/2021,337.049988,339.450012,333.559998,337.679993,30427600
11/24/2021,336.279999,338.160004,333.910004,337.910004,21661300
11/26/2021,334.350006,337.929993,328.119995,329.679993,24217200
11/29/2021,334.940002,339.029999,334.73999,336.630005,28563500
11/30/2021,335.320007,337.779999,328.98999,330.589996,42885600
12/1/2021,335.130005,339.279999,329.390015,330.079987,33337600
12/2/2021,330.299988,333.48999,327.799988,329.48999,30766000
12/3/2021,331.98999,332.700012,318.029999,323.01001,41779300
12/6/2021,323.950012,327.450012,319.230011,326.190002,30032600
12/7/2021,331.640015,335.799988,330.100006,334.920013,31021900
12/8/2021,335.309998,335.5,330.799988,334.970001,24761000
12/9/2021,334.410004,336.48999,332.119995,333.100006,22214200
12/10/2021,334.980011,343,334.790009,342.540009,38095700
12/13/2021,340.679993,343.790009,339.079987,339.399994,28899400
12/14/2021,333.220001,334.640015,324.109985,328.339996,44438700
12/15/2021,328.609985,335.190002,324.5,334.649994,35381100
12/16/2021,335.709991,336.76001,323.019989,324.899994,35034800
12/17/2021,320.880005,324.920013,317.25,323.799988,47750300
12/20/2021,320.049988,322.799988,317.570007,319.910004,28326500
12/21/2021,323.290009,327.730011,319.799988,327.290009,24740600
12/22/2021,328.299988,333.609985,325.75,333.200012,24831500
12/23/2021,332.75,336.390015,332.730011,334.690002,19617800
12/27/2021,335.459991,342.480011,335.429993,342.450012,19947000
12/28/2021,343.149994,343.809998,340.320007,341.25,15661500
12/29/2021,341.299988,344.299988,339.679993,341.950012,15042000
12/30/2021,341.910004,343.130005,338.820007,339.320007,15994500
12/31/2021,338.51001,339.359985,335.850006,336.320007,18000800
